gkz	Gemeinde	gueltig_abs	spoe_rel	15_29_rel
61001	Allerheiligen bei Wildon	804	16,04	13,72
61002	Arnfels	514	18,87	16,62
61007	Empersdorf	846	15,6	13,22
61008	Gabersdorf	675	13,33	20,49
61012	Gralla	1233	30,01	17,71
61013	Großklein	1344	15,7	16,18
61016	Heimschuh	1156	17,73	15,46
61017	Hengsberg	811	22,32	13,79
61019	Kitzeck im Sausal	704	24,01	15,01
61020	Lang	777	20,46	15,35
61021	Lebring-Sankt Margarethen	1177	22,34	17,3
61024	Oberhaag	1245	16,63	16,26
61027	Ragnitz	857	14,35	15,78
61030	Sankt Andrä-Höch	990	17,47	16,54
61032	Sankt Johann im Saggautal	1150	14	16,5
61033	Sankt Nikolai im Sausal	1223	18,89	14,94
61043	Tillmitsch	1792	23,6	16,39
61045	Wagna	2930	29,11	16,98
61049	Ehrenhausen an der Weinstraße	1299	23,48	15,54
61050	Gamlitz	1817	16,51	16,62
61051	Gleinstätten	1613	17,73	18,34
61052	Heiligenkreuz am Waasen	1533	17,03	17,28
61053	Leibnitz	5888	27,63	18,58
61054	Leutschach an der Weinstraße	2086	11,27	16,97
61055	Sankt Georgen an der Stiefing	824	15,66	14,47
61056	Sankt Veit in der Südsteiermark	2208	12,86	15,77
61057	Schwarzautal	1306	11,56	15,76
61058	Straß in Steiermark	2396	22,25	16,65
61059	Wildon	2674	23,97	16,91
